#,word_target,nonword_target,related_prime,unrelated_prime
1,dog,cosp,bone,industry
2,house,vebb,keys,beetle
3,happy,skunt,smile,gargolye
4,baby,lylk,pacifier,culture
5,table,drynt,chair,yolk
6,government,spourdge,president,cactus
7,justice,glewse,court,ember
8,economy,shrerme,money,crimson
9,freedom,knuck,slavery,locket
10,ladle,kaunt,spoon,paradox
11,moth,darm,wing,bread
12,velvet,lilve,smooth,car
13,acorn,blick,tree,wagon
14,thimble,holph,needle,politics
15,alchemy,neuche,sorcerer,obelisk
16,rancid,ceash,rotten,transaction
17,famine,rarsh,hunger,trolley
18,science,moace,experiment,ankle
19,eel,dax,water,strategy
20,plague,sneese,virus,sun